Assembly Accession	Assembly Name	Organism Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 
GCA_029851415.1	Ehay_zju_1.0	Eretmocerus hayati	692130109	Chromosome	2023-04-21	17						
GCA_963969285.1	idOdoOrna1.1	Odontomyia ornata	2045351806	Chromosome	2024-02-27	203						
GCA_963966045.1	icXesRufo2.1	Xestobium rufovillosum	475764984	Chromosome	2024-02-11	45						
GCA_009982885.2	myriam-sen2290-mb-hirise-a4l1o__03-26-2021	Hyles vespertilio	651427907	Chromosome	2022-06-07	391						
GCA_038380765.1	ASM3838076v1	Odontothrips loti	331074510	Chromosome	2024-04-18	152						
GCA_963978495.1	iyAthCirc1.1	Athalia circularis	201858720	Chromosome	2024-03-10	15						
GCA_963978885.1	idNemPant2.1	Nemotelus pantherinus	804691354	Chromosome	2024-03-10	149						
GCA_963930755.1	idEudCyai1.1	Eudasyphora cyanicolor	1450416854	Chromosome	2024-01-31	74						
GCA_964035505.1	ilWatCult2.1	Watsonalla cultraria	319382117	Chromosome	2024-04-29	36						
GCA_963978555.1	icGalNymp1.1	Galerucella nymphaeae	350166153	Chromosome	2024-03-10	32						
GCA_964034945.1	idChrAsil3.1	Chrysopilus asiliformis	429048661	Chromosome	2024-04-27	41						
GCA_964056405.1	ilAcrAlni1.hap1.1	Acronicta alni	470370600	Chromosome	2024-05-16	252						
GCA_022405125.1	ASM2240512v1	Anthidium xuezhongi	189140731	Chromosome	2022-03-04	23						
GCA_963971345.1	iyAndFlav1.1	Andrena flavipes	307582644	Chromosome	2024-03-07	8						
GCA_963992785.1	iyTenLivi1.1	Tenthredo livida	348392907	Chromosome	2024-03-16	53						
GCA_963989215.1	iyHedRose1.1	Hedychridium roseum	174728637	Chromosome	2024-03-11	20						
GCA_951806755.1	ES_BH_1412.v2_0	Brenthis hecate	408758099	Chromosome	2023-06-15	45						
GCA_963989295.1	iyAmeEqui1.1	Ametastegia equiseti	292170321	Chromosome	2024-03-14	22						
GCA_037043255.1	ASM3704325v1	Diadegma fenestrale	221095588	Chromosome	2024-03-07	68						
GCA_963942485.1	icPedDerm1.1	Pediacus dermestoides	235015170	Chromosome	2024-02-09	107						
GCA_963971155.1	idAntAnth1.1	Anthrax anthrax	334620656	Chromosome	2024-03-04	363						
GCA_038380155.1	ASM3838015v1	Pseudococcus jackbeardsleyi	334251981	Chromosome	2024-04-18	219						
GCA_032441835.1	ASM3244183v1	Slavum lentiscoides	336272330	Chromosome	2023-10-11	202						
GCA_964017055.1	idChlForm1.1	Chloromyia formosa	790811816	Chromosome	2024-03-22	113						
GCA_963932335.1	iyAndMarg1.1	Andrena marginata	373639974	Chromosome	2024-02-07	522						
GCA_964036015.1	idLepBrev1.hap1.1	Leptarthrus brevirostris	850813615	Chromosome	2024-05-10	161						
GCA_020882685.1	ARS_Aatr_GLS1.0	Aphelinus atriplicis	340293176	Chromosome	2021-11-16	466						
GCA_933534255.1	IP_504.v2_0	Iphiclides podalirius	430729501	Chromosome	2022-05-03	260						
GCA_008121275.1	UCBerk_Dlow_1.0	Drosophila lowei	184313494	Chromosome	2019-08-28	223						
GCA_963942445.1	idArgLeuc1.1	Argyra leucocephala	917377706	Chromosome	2024-02-09	43						
GCA_963966155.1	icCliFoss2.1	Clivina fossor	612599023	Chromosome	2024-02-12	554						
GCA_963966075.1	icAphStic4.1	Aphodius sticticus	628426238	Chromosome	2024-02-12	77						
GCA_028476595.1	CAF_Oro_1.0	Obolodiplosis robiniae	199532299	Chromosome	2023-02-06	14						
GCA_918226075.1	PGI_MICBR_v5	Microctonus brassicae	137881629	Chromosome	2022-05-04	14						
GCA_963971375.1	idPlaRosa1.1	Platycheirus rosarum	764050118	Chromosome	2024-03-07	268						
GCA_963966015.1	icAphObli1.1	Aphidecta obliterata	349557290	Chromosome	2024-02-11	200						
GCA_039654895.1	ASM3965489v1	Mongoloraphidia duomilia	648137043	Chromosome	2024-05-16	374						
GCA_028673005.1	amnh_byu_tan	Tanypteryx hageni	1678606281	Chromosome	2023-02-22	1032						
GCA_963932195.1	idEmpLivi1.1	Empis livida	291246278	Chromosome	2024-02-07	182						
GCA_964017025.1	iySteCulp1.1	Stenichneumon culpator	284623394	Chromosome	2024-03-22	101						
GCA_964023215.1	icEleAgri1.1	Eledona agricola	363595314	Chromosome	2024-04-08	229						
GCA_963942505.1	icLorLunu1.1	Lordithon lunulatus	674366605	Chromosome	2024-02-09	655						
GCA_963971225.1	idMelOmis1.1	Melieria omissa	490542112	Chromosome	2024-03-04	173						
GCA_963924505.1	ilAgoAlst2.1	Agonopterix alstromeriana	491160810	Chromosome	2024-01-29	89						
GCA_963971325.1	icAphGran1.1	Aphodius granarius	397201765	Chromosome	2024-03-04	590						
GCA_026123125.1	ASM2612312v1	Chironomus striatipennis	181841860	Chromosome	2022-11-11	78						
GCA_946811545.1	iyNetDila1.1	Netelia fuscicornis	324740661	Chromosome	2022-09-15	754						
GCA_963931805.1	idMicMyrm1.1	Microdon myrmicae	1366175401	Chromosome	2024-02-06	65						
GCA_964006375.1	icTilElon2.1	Tillus elongatus	1719077469	Chromosome	2024-03-18	41						
GCA_963971545.1	idPhiCaes1.1	Philophylla caesio	777426834	Chromosome	2024-03-07	80						
GCA_963966615.1	iyTenAmoe1.1	Tenthredo amoena	199844038	Chromosome	2024-02-24	20						
GCA_038088585.1	Cglo_1.0	Chrysina gloriosa	642274021	Chromosome	2024-04-17	454						
GCA_964034865.1	idEriIntr1.1	Eristalis intricaria	586385591	Chromosome	2024-04-27	326						
GCA_029784135.1	ASM2978413v1	Toxorhynchites rutilus septentrionalis	903034419	Chromosome	2023-04-19	519						
GCF_029784135.1	ASM2978413v1	Toxorhynchites rutilus septentrionalis	903034419	Chromosome	2023-04-19	519	0.9893455	0.97869104	0.01065449	0.000913242	0.009741249	diptera_odb10
GCA_963966105.1	idVolZona1.1	Volucella zonaria	1262783537	Chromosome	2024-02-11	858						
GCA_963924145.1	ilPyrPurp2.1	Pyrausta purpuralis	837235214	Chromosome	2024-01-19	1600						
GCA_963931855.1	idChrFest1.1	Chrysotoxum festivum	870771862	Chromosome	2024-02-06	216						
GCA_963924295.1	idDioRufi1.1	Dioctria rufipes	1451570944	Chromosome	2024-01-22	1456						
GCA_964006125.1	iyCryVidu1.1	Cryptus viduatorius	225366130	Chromosome	2024-03-18	15						
GCA_033060865.1	AHU_Dhop_1.0	Dorcus hopei	520705759	Chromosome	2023-10-27	27						
GCA_963971135.1	icSteBima1.1	Stenus bimaculatus	450584990	Chromosome	2024-03-04	1588						
GCA_917834065.1	PGI_CEUTPL_v4	Ceutorhynchus assimilis	674950870	Chromosome	2022-07-12	44						
GCA_963932295.1	idTipLate1.1	Tipula lateralis	701319157	Chromosome	2024-02-07	671						
GCA_963971185.1	iyBomMusc1.1	Bombus muscorum	317676412	Chromosome	2024-03-04	37						
GCA_963924495.1	ilNemKoen2.1	Nemapogon koenigi	382948259	Chromosome	2024-01-29	52						
GCA_963932275.1	iyAndPrae1.1	Andrena praecox	563050942	Chromosome	2024-02-07	664						
GCA_963969485.1	iyNomGood2.1	Nomada goodeniana	216362909	Chromosome	2024-02-27	202						
GCA_032872505.1	ASM3287250v1	Leptopilina syphax	487121192	Chromosome	2023-10-27	144						
GCA_963989415.1	iyCerRufi2.1	Cerceris ruficornis	566083233	Chromosome	2024-03-14	559						
GCA_963971365.1	iyLasVill1.1	Lasioglossum villosulum	458491679	Chromosome	2024-03-07	191						
GCA_004354385.2	ASM435438v2	Drosophila innubila	166268644	Chromosome	2020-12-20	8						
GCA_004354385.1	UK_Dinn_1.0	Drosophila innubila	167978031	Chromosome	2019-03-19	363						
GCF_004354385.1	UK_Dinn_1.0	Drosophila innubila	167978031	Chromosome	2019-03-19	363	0.9975647	0.991172	0.006392694	0.0012176561	0.0012176561	diptera_odb10
GCA_963978835.1	iyTenScro1.1	Tenthredo scrophulariae	233125631	Chromosome	2024-03-10	15						
GCA_032872475.1	ASM3287247v1	Leptopilina sp. ZJUHJH005	462303964	Chromosome	2023-10-27	161						
GCA_963971235.1	iyCryArma1.1	Cryptus armator	366664426	Chromosome	2024-03-04	357						
GCA_964028335.1	icAltLyth1.1	Altica lythri	1003506841	Chromosome	2024-04-20	1578						
GCA_030247195.1	ASM3024719v1	Topomyia yanbarensis	1168159140	Chromosome	2023-06-12	1046						
GCF_030247195.1	ASM3024719v1	Topomyia yanbarensis	1168159140	Chromosome	2023-06-12	1046	0.982344	0.92511415	0.05722983	0.003652968	0.014003044	diptera_odb10
GCA_963971445.1	idOrnChlo1.1	Ornithomya chloropus	193173666	Chromosome	2024-03-07	8						
GCA_963931995.1	idPhaTief1.1	Phaonia tiefii	1537951144	Chromosome	2024-02-08	107						
GCA_027580255.1	ASM2758025v1	Therioaphis trifolii	541299359	Chromosome	2023-01-09	575						
GCA_963932165.1	iyPimRufi1.1	Pimpla rufipes	322746055	Chromosome	2024-02-07	65						
GCA_019059595.1	ASM1905959v1	Marasmia exigua	797606974	Chromosome	2021-06-29	3328						
GCA_963971475.1	idChrCaec1.1	Chrysops caecutiens	333688536	Chromosome	2024-03-07	990						
GCA_963942575.1	iyPriPert1.1	Priocnemis perturbator	391615939	Chromosome	2024-02-09	479						
GCA_009664405.1	UCBerk_Dbif_1.0	Drosophila bifasciata	192749618	Chromosome	2019-11-15	214						
GCA_034621355.1	Mmineus_v0.6	Mycalesis mineus	497400230	Chromosome	2023-12-27	342						
GCA_963970395.1	iyEphMani1.1	Ephialtes manifestator	577697262	Chromosome	2024-03-04	466						
GCA_963930825.1	icSilUnid1.1	Silvanus unidentatus	187153472	Chromosome	2024-01-31	102						
GCA_032873175.1	ASM3287317v1	Leptopilina drosophilae	569223475	Chromosome	2023-10-27	1233						
GCA_034510155.1	GX_Eocu_V1	Eucriotettix oculatus	985268080	Chromosome	2023-12-21	245						
GCA_963924605.1	icMalSeri1.1	Malthinus seriepunctatus	338810509	Chromosome	2024-01-29	48						
GCA_963978525.1	idOrnFrin1.1	Ornithomya fringillina	172795544	Chromosome	2024-03-10	14						
GCA_918026855.4	PGI_PHAECO_v4	Phaedon cochleariae	869734947	Chromosome	2022-10-18	19						
GCA_964016905.1	iyPerAlbc1.1	Perithous albicinctus	383457593	Chromosome	2024-03-22	49						
GCA_963971405.1	iuPsoGibb1.1	Psococerastis gibbosa	409205223	Chromosome	2024-03-07	69						
GCA_963971165.1	icPhiPlag1.1	Philopedon plagiatum	1080330423	Chromosome	2024-03-04	374						
GCA_963942555.1	iyAleLepo1.1	Aleiodes leptofemur	271203239	Chromosome	2024-02-09	16						
GCA_918026665.1	PGI_DIABBA_v3	Diabrotica balteata	1607257046	Chromosome	2022-07-12	407						
GCA_964017225.1	iyNetThom1.1	Netelia thomsonii	403611192	Chromosome	2024-03-23	525						
GCA_964034905.1	iyItoMacu1.1	Itoplectis maculator	223131394	Chromosome	2024-04-27	271						
GCA_963989405.1	iyTryAtte1.1	Trypoxylon attenuatum	217802136	Chromosome	2024-03-14	209						
GCA_964023945.1	iyEctCavi1.1	Ectemnius cavifrons	225310263	Chromosome	2024-04-12	271						
GCA_963978505.1	iyLisNyct1.1	Listrodromus nycthemerus	190774361	Chromosome	2024-03-10	11						
GCA_927349885.1	PGI_PSYICH_v2	Psylliodes chrysocephala	1181805965	Chromosome	2022-07-01	32						
GCA_026168455.1	ASM2616845v1	Theocolax elegans	662726325	Chromosome	2022-11-14	1900						
GCA_014825925.1	ASM1482592v1	Bombus breviceps	248124274	Chromosome	2020-10-02	1317						
GCA_963942545.1	idOxyNigr1.1	Oxycera nigricornis	604329885	Chromosome	2024-02-09	271						
GCA_963942595.1	iyCylCali1.1	Cylloceria caligata	596249907	Chromosome	2024-02-09	717						
GCA_963969455.1	iyArgPaga1.1	Arge pagana	204667820	Chromosome	2024-02-27	221						
GCA_014825975.1	ASM1482597v1	Bombus haemorrhoidalis	240538686	Chromosome	2020-10-02	1614						
GCA_963969585.1	idDroHelv2.1	Drosophila helvetica	224183749	Chromosome	2024-02-27	45						
GCA_963930735.1	idDioLine1.1	Dioctria linearis	1613167115	Chromosome	2024-01-31	3127						
GCA_963966595.1	idPhyRufi1.1	Physocephala rufipes	243305359	Chromosome	2024-02-24	287						
GCA_034509555.1	ASM3450955v1	Bombus opulentus	234159873	Chromosome	2023-12-26	19						
GCA_038277395.1	ASM3827739v1	Dryocosmus kuriphilus	2283477291	Chromosome	2024-04-17	5447						
GCA_963989365.1	iyRhiMega2.1	Rhimphoctona megacephalus	405998920	Chromosome	2024-03-14	216						
GCA_963969525.1	icOntMuri1.1	Ontholestes murinus	1023307446	Chromosome	2024-02-27	1441						
GCA_963931895.1	ilEupPulc1.1	Eupithecia pulchellata	385423043	Chromosome	2024-02-06	473						
GCA_964023185.1	ilMacLitu1.1	Macaria liturata	370302041	Chromosome	2024-04-07	365						
GCA_963966035.1	ilAclLate2.1	Acleris laterana	574757992	Chromosome	2024-02-11	501						
GCA_964007375.1	iyOphObsc1.1	Ophion obscuratus	742596220	Chromosome	2024-03-19	328						
GCA_964007535.1	ipBraRisi1.1	Brachyptera risi	680162462	Chromosome	2024-03-19	690						
GCA_031772345.1	ASM3177234v1	Himalopsyche anomala	663432879	Chromosome	2023-09-22	402						
GCA_944452715.1	iyOphLute1.1	Ophion slaviceki	654222225	Chromosome	2022-07-01	571						
GCA_963932265.1	ilThyLine1.1	Thymelicus lineola	511809164	Chromosome	2024-02-07	485						
GCA_014825825.1	ASM1482582v1	Bombus turneri	243111512	Chromosome	2020-10-02	3015						
GCA_964007475.1	idHybCuli1.1	Hybos culiciformis	342558751	Chromosome	2024-03-19	568						
GCA_964016945.1	iyMicDepi1.1	Microplitis deprimator	233219686	Chromosome	2024-03-22	135						
GCA_030522485.1	ASM3052248v1	Stenchaetothrips biformis	338861303	Chromosome	2023-07-26	31						
GCA_028454225.1	LLEU_v2.2.0	Lasioglossum leucozonium	283103265	Chromosome	2023-02-07	5857						
GCA_963932345.1	iyOphVent1.1	Ophion ventricosus	436796015	Chromosome	2024-02-07	621						
GCA_028455765.1	LOEN_v2.2.0	Lasioglossum oenotherae	281089281	Chromosome	2023-02-07	4636						
GCA_964007305.1	iyNetMela1.1	Netelia melanura	253866627	Chromosome	2024-03-19	631						
GCA_028455795.1	LMAR_v2.2.0	Lasioglossum marginatum	302908130	Chromosome	2023-02-07	12540						
GCA_963971205.1	ilAetCnic1.1	Aethes cnicana	412259526	Chromosome	2024-03-04	769						
GCA_028455605.1	LMAL_v2.2.0	Lasioglossum malachurum	266994231	Chromosome	2023-02-07	4166						
GCA_963971145.1	iySusPulc1.1	Sussaba pulchella	299905591	Chromosome	2024-03-04	1379						
GCA_028453695.1	APUR_v2.2.0	Augochlora pura	304361200	Chromosome	2023-02-07	8973						
GCA_028454255.1	HLIG_v2.2.0	Halictus ligatus	310992892	Chromosome	2023-02-07	12137						
GCA_028455595.1	LVIE_v2.2.0	Lasioglossum vierecki	286421018	Chromosome	2023-02-07	13642						
GCA_028455615.1	LZEP_v2.2.0	Lasioglossum zephyrum	275648088	Chromosome	2023-02-07	14337						
GCA_014466175.1	ASM1446617v1	Vespula pensylvanica	179370016	Chromosome	2020-09-09	222						
GCF_014466175.1	ASM1446617v1	Vespula pensylvanica	179370016	Chromosome	2020-09-09	222	0.9828075	0.98030376	0.0025037557	0.0030045067	0.014187949	hymenoptera_odb10
GCA_028455805.1	LFIG_v2.2.0	Lasioglossum figueresi	318786092	Chromosome	2023-02-07	14981						
GCA_017140985.1	hormaphis_cornu_26Sep2017_PoQx8	Hormaphis cornu	319692780	Chromosome	2021-03-09	11241						
GCA_016170035.1	AlikF1	Anopheles funestus-like sensu Spillings et al. (2009)	229161290	Chromosome	2020-12-22	10918						
GCA_016254315.1	AparF1	Anopheles parensis	278978218	Chromosome	2020-12-22	21347						
GCA_016170025.1	Avan.F1	Anopheles vaneedeni	308699844	Chromosome	2020-12-22	22625						
GCA_028455555.1	AAUR_v2.2.0	Augochlorella aurata	350195836	Chromosome	2023-02-07	21454						
GCA_029228625.1	FCFRP_Bhyg_1.0	Pseudolycoriella hygida	609270041	Chromosome	2023-03-20	6452						
GCA_028454235.1	HRUB_v2.2.0	Halictus rubicundus	327913270	Chromosome	2023-02-07	9555						
GCA_020882725.1	ARS_Acer_aS1	Aphelinus certus	333501216	Chromosome	2021-11-17	12937						
GCA_016170015.1	AlonF1	Anopheles longipalpis	347073236	Chromosome	2020-12-22	27767						
GCA_028454245.1	HQUA_v2.2.0	Halictus quadricinctus	290030938	Chromosome	2023-02-07	19996						
GCA_018908115.1	ArivF1	Anopheles rivulorum	321482242	Chromosome	2021-06-17	34746						
GCA_028453745.1	AVIR_v2.2.0	Agapostemon virescens	469956152	Chromosome	2023-02-07	52608						
GCA_000149185.1	Mdes_1.0	Mayetiola destructor	185827756	Scaffold	2010-10-18	24475						
GCA_001654025.1	ASM165402v1	Drosophila arizonae	141386800	Scaffold	2016-05-09	3178						
GCF_001654025.1	ASM165402v1	Drosophila arizonae	141386800	Scaffold	2016-05-09	3178	0.95616436	0.952207	0.003957382	0.01369863	0.030136986	diptera_odb10
GCA_001854935.1	ASM185493v1	Bemisia tabaci	615001830	Scaffold	2016-10-26	19750						
GCF_001854935.1	ASM185493v1	Bemisia tabaci	615001830	Scaffold	2016-10-26	19750	0.9876494	0.96972114	0.017928287	0.0011952191	0.011155378	hemiptera_odb10
GCA_030504385.2	Musca_domestica.polishedcontigs.V.1.1	Musca domestica	1032604506	Scaffold	2023-07-18	339						
GCF_030504385.1	Musca_domestica.polishedcontigs.V.1.1	Musca domestica	1032604506	Scaffold	2023-07-18	339	0.99086756	0.7820396	0.208828	0.0012176561	0.007914764	diptera_odb10
GCA_000475195.1	Diaci psyllid genome assembly version 1.1	Diaphorina citri	485705082	Scaffold	2013-10-22	161988						
GCF_000475195.1	Diaci psyllid genome assembly version 1.1	Diaphorina citri	485705082	Scaffold	2013-10-22	161988	0.86772907	0.8191235	0.048605576	0.062948205	0.06932271	hemiptera_odb10
GCA_026898425.1	CSIRO_AGI_GalMel_v1	Galleria mellonella	471899840	Contig	2022-12-14							
GCF_026898425.1	CSIRO_AGI_GalMel_v1	Galleria mellonella	471899840	Contig	2022-12-14		0.9928112	0.9807038	0.012107453	0.00075671583	0.006432085	lepidoptera_odb10
GCA_000500325.2	Ldec_2.0	Leptinotarsa decemlineata	641992784	Scaffold	2017-10-31	26908						
GCF_000500325.1	Ldec_2.0	Leptinotarsa decemlineata	641992784	Scaffold	2017-10-31	26908	0.93926555	0.9223164	0.016949153	0.033427496	0.027306968	endopterygota_odb10
GCA_001856785.1	MPER_G0061.0	Myzus persicae	347296088	Scaffold	2016-09-19	4020						
GCF_001856785.1	MPER_G0061.0	Myzus persicae	347296088	Scaffold	2016-09-19	4020	0.99760956	0.98924303	0.008366534	0.00079681276	0.0015936255	hemiptera_odb10
GCA_025594305.2	ASM2559430v2	Periplaneta americana	3055948503	Scaffold	2023-01-24	48						
GCF_004193835.3	ASM419383v2	Ostrinia furnacalis	435187609	Scaffold	2019-02-13	6268						
GCA_000648675.3	Clec_2.1	Cimex lectularius	510833625	Scaffold	2017-12-12	1573						
GCF_000648675.2	Clec_2.1	Cimex lectularius	510833625	Scaffold	2017-12-12	1573	0.9936255	0.9812749	0.012350597	0.00039840638	0.005976096	hemiptera_odb10
GCA_000347755.4	Ccap_2.1	Ceratitis capitata	436474819	Scaffold	2017-11-06	2354						
GCF_000347755.3	Ccap_2.1	Ceratitis capitata	436474819	Scaffold	2017-11-06	2354	0.9966515	0.99421614	0.0024353121	0.000913242	0.0024353121	diptera_odb10
GCA_030347505.1	kcgeb_rfM	Rhynchophorus ferrugineus	778716828	Scaffold	2023-06-22	720						
GCA_021498325.1	ASM2149832v1	Bactrocera minax	323793189	Contig	2022-01-18							
GCA_003285735.2	DvirRS2	Drosophila virilis	189443829	Contig	2018-10-23							
GCF_003285735.1	DvirRS2	Drosophila virilis	189443829	Contig	2018-10-23		0.99847794	0.977169	0.02130898	0.00060882804	0.000913242	diptera_odb10
GCA_017312745.1	Gbim_1.0	Gryllus bimaculatus	1658007496	Scaffold	2021-02-12	47877						
GCA_000441895.2	AS2	Anopheles sinensis	220777669	Scaffold	2014-07-14	9592						
GCA_020466585.2	Dpon_F_20191213v2	Dendroctonus ponderosae	223597517	Scaffold	2021-10-13	2112						
GCF_020466585.1	Dpon_F_20191213v2	Dendroctonus ponderosae	223597517	Scaffold	2021-10-13	2112	0.98352164	0.9279661	0.055555556	0.0018832391	0.014595103	endopterygota_odb10
GCA_004302925.2	ASM430292v2	Cochliomyia hominivorax	534384686	Scaffold	2022-11-18	521						
GCA_001077435.1	ASM107743v1	Glossina morsitans morsitans	363107242	Contig	2014-03-12							
GCA_021186555.1	TAMU-RSper-2021	Reticulitermes speratus	880618617	Scaffold	2021-12-14	427						
GCA_000836235.2	Pxut_1.1	Papilio xuthus	223546057	Scaffold	2015-02-02	4763						
GCF_000836235.2	Pxut_1.1	Papilio xuthus	223546057	Scaffold	2015-02-02	4763						
GCA_000390285.2	Agla_2.0	Anoplophora glabripennis	706952781	Scaffold	2017-12-12	9866						
GCF_000390285.2	Agla_2.0	Anoplophora glabripennis	706952781	Scaffold	2017-12-12	9866	0.9854049	0.9679849	0.017419962	0.008474576	0.006120527	endopterygota_odb10
GCA_000697945.5	Focc_3.1	Frankliniella occidentalis	405722110	Scaffold	2019-11-12	6168						
GCF_000697945.3	Focc_3.1	Frankliniella occidentalis	405722110	Scaffold	2019-11-12	6168	0.9926847	0.9817118	0.010972934	0.0036576444	0.0036576444	insecta_odb10
GCA_000006295.1	JCVI_LOUSE_1.0	Pediculus humanus corporis	110781312	Scaffold	2007-04-23	1882						
GCF_000006295.1	JCVI_LOUSE_1.0	Pediculus humanus corporis	110781312	Scaffold	2007-04-23	1882						
GCA_951848785.1	YS_HiFi_assembly	Callosobruchus maculatus	1246713675	Contig	2023-09-03							
GCA_009761285.1	PRSTRT_AglyBT1_v1	Aphis glycines	308063827	Scaffold	2019-12-17	3210						
GCA_015586225.1	ASM1558622v1	Lucilia sericata	565289533	Contig	2020-11-22							
GCF_015586225.1	ASM1558622v1	Lucilia sericata	565289533	Contig	2020-11-18		0.96834093	0.9153729	0.052968036	0.007305936	0.02435312	diptera_odb10
GCA_000696795.2	Hhal_2.0	Halyomorpha halys	998224378	Scaffold	2017-12-15	16638						
GCF_000696795.2	Hhal_2.0	Halyomorpha halys	998224378	Scaffold	2017-12-15	16638	0.9920319	0.97251	0.019521913	0.0027888445	0.0051792827	hemiptera_odb10
GCA_000648655.2	Cflo_2.0	Copidosoma floridanum	553956141	Scaffold	2017-12-12	4840						
GCF_000648655.2	Cflo_2.0	Copidosoma floridanum	553956141	Scaffold	2017-12-12	4840	0.9058588	0.8823235	0.023535304	0.030712735	0.06342848	hymenoptera_odb10
GCA_000181055.3	Rhodnius_prolixus-3.0.3	Rhodnius prolixus	706824083	Scaffold	2015-04-08	16537						
GCA_002382865.2	ASM238286v2	Heliothis virescens	404004474	Scaffold	2022-02-25	614						
GCA_000696795.3	Hhal_1.1	Halyomorpha halys	1150087594	Scaffold	2019-10-15	12165						
GCA_018153725.1	ASM1815372v1	Drosophila mojavensis	163170721	Contig	2021-04-28							
GCF_018153725.1	ASM1815372v1	Drosophila mojavensis	163170721	Contig	2021-04-28		0.99817353	0.9933029	0.0048706243	0.000913242	0.000913242	diptera_odb10
GCA_003227725.1	Cflo_v7.5	Camponotus floridanus	284009182	Scaffold	2018-06-14	657						
GCF_003227725.1	Cflo_v7.5	Camponotus floridanus	284009182	Scaffold	2018-06-14	657	0.9934902	0.9871474	0.006342848	0.0010015023	0.005508262	hymenoptera_odb10
GCA_003227715.2	Hsal_v8.6	Harpegnathos saltator	334161684	Scaffold	2018-06-14	850						
GCF_003227715.2	Hsal_v8.6	Harpegnathos saltator	334161684	Scaffold	2018-06-14	850						
GCA_024734495.1	UO_Faur_GA_v1.1	Forficula auricularia	1062210345	Scaffold	2022-08-23	919						
GCA_000956155.1	ASM95615v1	Cotesia vestalis	186103588	Contig	2015-03-18							
GCA_027580185.1	ASM2758018v1	Tuta absoluta	635893064	Contig	2023-01-06							
GCA_016097725.1	CZU_Ityp_1.0	Ips typographus	236816287	Contig	2020-12-16							
GCA_019393585.1	ZJU_Lbou_2.1	Leptopilina boulardi	354804354	Scaffold	2021-07-29	409						
GCF_019393585.1	ZJU_Lbou_2.1	Leptopilina boulardi	354804354	Scaffold	2021-07-29	409	0.947755	0.9412452	0.0065097646	0.0030045067	0.049240526	hymenoptera_odb10
GCA_011764245.1	ASM1176424v1	Trialeurodes vaporariorum	787484423	Scaffold	2020-03-27	399						
GCA_019425605.1	ASM1942560v1	Sitobion avenae	393018683	Scaffold	2021-07-30	27478						
GCA_001188975.4	MU_Boleae_v2	Bactrocera oleae	484931532	Scaffold	2019-04-30	38160						
GCF_001188975.3	MU_Boleae_v2	Bactrocera oleae	484931532	Scaffold	2019-04-30	38160	0.9881278	0.97929984	0.008828006	0.003957382	0.007914764	diptera_odb10
GCA_000648695.2	Otau_2.0	Onthophagus taurus	267079363	Scaffold	2017-10-31	5821						
GCF_000648695.1	Otau_2.0	Onthophagus taurus	267079363	Scaffold	2017-10-31	5821	0.99435025	0.96704334	0.027306968	0.0014124294	0.004237288	endopterygota_odb10
GCA_000836215.1	Ppol_1.0	Papilio polytes	227005758	Scaffold	2015-02-02	3873						
GCF_000836215.1	Ppol_1.0	Papilio polytes	227005758	Scaffold	2015-02-02	3873	0.9663261	0.96367764	0.0026485054	0.017026106	0.016647749	lepidoptera_odb10
GCA_000699045.2	Apla_2.0	Agrilus planipennis	353056831	Scaffold	2018-01-03	3612						
GCF_000699045.2	Apla_2.0	Agrilus planipennis	353056831	Scaffold	2018-01-03	3612	0.9637476	0.9001883	0.06355932	0.015065913	0.021186441	endopterygota_odb10
GCA_000696205.2	Ofas_2.0	Oncopeltus fasciatus	1099611736	Scaffold	2018-05-01	15991						
GCA_020654165.1	S4-7k-2v3	Oryctes rhinoceros	377356435	Scaffold	2021-10-27	1013						
GCA_019399895.1	Cobs2.1	Cardiocondyla obscurior	193051228	Scaffold	2021-07-29	127						
GCA_003987935.1	ASM398793v1	Bombyx mandarina	398573003	Scaffold	2018-12-31	3104						
GCF_003987935.1	ASM398793v1	Bombyx mandarina	398573003	Scaffold	2018-12-31	3104	0.94589484	0.93889517	0.0069996216	0.0026485054	0.05145668	lepidoptera_odb10
GCA_000220905.1	MROT_1.0	Megachile rotundata	272660569	Scaffold	2011-07-19	6266						
GCF_000220905.1	MROT_1.0	Megachile rotundata	272660569	Scaffold	2011-07-19	6266	0.98397595	0.9821399	0.0018360874	0.003171424	0.012852612	hymenoptera_odb10
GCA_000184785.2	Aflo_1.1	Apis florea	228997396	Scaffold	2011-01-06	6983						
GCF_000184785.3	Aflo_1.1	Apis florea	228997396	Scaffold	2012-12-07	6983	0.96795195	0.9664497	0.0015022533	0.017693207	0.014354866	hymenoptera_odb10
GCA_013731165.1	Rhpom_1.0	Rhagoletis pomonella	1223288327	Scaffold	2020-06-18	32060						
GCF_013731165.1	Rhpom_1.0	Rhagoletis pomonella	1223288327	Scaffold	2020-06-18	32060	0.9476408	0.75555557	0.19208524	0.02130898	0.031050228	diptera_odb10
GCA_005959815.1	ROC_SBull_1.0	Sarcophaga bullata	476287247	Scaffold	2019-06-04	42093						
GCA_004785975.1	GSC_JBeet_1.0	Popillia japonica	531530429	Scaffold	2019-03-29	75144						
